,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DP25,CALM3,"Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1, Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1",2,1,,,12,1,,,2,1,,,19,15,,,2.10E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32969,RPL9; RPL9P7; RPL9P8; RPL9P9,"60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1, 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1",2,1,1,,2,1,1,,2,1,1,,24,14,14,,2.30E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12236,SLC25A6,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,3,,,,8,,,,3,,,,18,,,,2.52E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96AA3,RFT1,Protein RFT1 homolog OS=Homo sapiens OX=9606 GN=RFT1 PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,2.59E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DMV9,HSPA1B,"Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1, Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1",3,3,,,13,5,,,3,1,,,9,7,,,2.92E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06702,S100A9,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,2,,,,3,,,,2,,,,18,,,,3.30E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15924,DSP,"Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3, Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3, Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3, Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",2,10,8,4,2,10,8,4,2,10,8,4,1,4,3,1,1.32E+05,1.23E+06,2.25E+06,8.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P08779,KRT16,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4, Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4, Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4, Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",11,16,23,17,22,33,65,57,2,6,11,6,26,36,53,41,2.27E+05,1.40E+06,1.36E+07,1.17E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,1,,,,2,,,,1,,,,5,,,,2.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31944,CASP14,"Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2, Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2, Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2, Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2",1,2,1,1,1,2,2,1,1,2,1,1,4,9,4,4,2.34E+05,4.11E+05,2.65E+05,2.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02413,DSG1,"Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2, Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2, Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2, Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",2,3,6,1,4,3,6,1,2,3,6,1,3,4,8,2,2.44E+05,4.32E+05,1.57E+06,2.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P81605,DCD,"Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2, Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2, Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2, Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2",1,2,2,1,1,3,3,1,1,2,2,1,10,20,20,10,2.96E+05,1.65E+06,1.95E+06,2.33E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P14923,JUP,"Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3, Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3, Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3, Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",2,3,7,4,3,4,10,5,2,3,7,4,3,5,11,7,3.07E+05,4.31E+05,2.19E+06,7.68E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P62917,RPL8,"60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2, 60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2",1,1,,,1,1,,,1,1,,,8,8,,,3.11E+05,1.86E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5D862,FLG2,"Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1, Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1, Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1, Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1",2,1,2,1,2,1,3,1,2,1,2,1,1,1,1,0,3.19E+05,3.96E+05,1.05E+06,2.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P01040,CSTA,"Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1",1,3,2,1,1,4,2,1,1,3,2,1,12,38,19,12,3.47E+05,8.94E+05,7.74E+05,3.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P55084,HADHB,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3, Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3, Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3, Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",1,1,1,1,7,5,3,1,1,1,1,1,5,5,5,5,8.91E+05,5.84E+05,4.05E+05,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06830,PRDX1,"Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1, Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1, Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1, Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1",2,4,1,1,5,5,1,1,1,3,1,1,18,20,6,6,1.59E+06,1.27E+06,3.07E+05,1.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TF72,SHROOM3,"Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2, Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2, Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2, Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2",1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,1.65E+06,1.89E+06,1.58E+06,1.12E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
P02538,KRT6A,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",14,12,27,18,27,35,82,48,6,2,4,3,27,22,47,32,1.81E+06,1.59E+06,2.46E+07,1.70E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P08670,VIM,"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4, Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4, Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4, Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",4,1,2,2,16,7,4,6,3,1,1,1,12,4,6,6,1.81E+06,8.22E+05,3.07E+05,2.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P62736,ACTA2,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1, Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1, Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1, Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",3,8,2,1,12,14,5,1,2,1,1,1,16,26,10,6,2.27E+06,9.81E+05,3.41E+05,6.69E+04,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04695,KRT17,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2, Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2, Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2, Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",10,9,20,12,32,14,35,20,5,2,10,5,29,20,42,29,2.42E+06,4.69E+05,5.54E+06,2.08E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
P07195,LDHB,"L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2, L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2, L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2, L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2",2,2,1,1,15,11,5,3,2,2,1,1,10,11,6,6,3.66E+06,2.12E+06,1.03E+06,6.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P02768,ALB,"Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2, Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2, Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2, Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2",5,7,4,6,10,15,6,6,5,7,4,6,7,11,7,9,4.30E+06,7.45E+06,2.79E+06,3.11E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86Y46,KRT73,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1, Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1, Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1, Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1",3,4,6,3,8,14,18,11,1,1,1,1,5,6,7,6,4.55E+06,1.10E+07,2.44E+07,1.26E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P04075,ALDOA,"Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2, Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2, Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2, Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2",4,5,3,1,25,11,7,2,4,5,3,1,23,26,18,8,4.98E+06,2.50E+06,7.34E+05,3.59E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P02533,KRT14,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",14,17,26,18,30,37,78,65,3,4,10,5,34,38,59,41,7.19E+06,1.24E+07,5.31E+07,3.80E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P04406,GAPDH,"Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3, Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3, Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3, Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",6,8,7,3,34,21,15,5,6,8,7,3,28,34,34,15,8.65E+06,7.05E+06,2.73E+06,7.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P14618,PKM,"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4, Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4, Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4, Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4",10,7,1,1,45,14,2,1,10,7,1,1,29,23,3,3,1.23E+07,1.36E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13647,KRT5,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",17,21,30,20,32,49,83,53,10,14,19,13,28,36,47,33,1.23E+07,1.98E+07,6.07E+07,3.97E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P35527,KRT9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",14,21,25,15,33,45,91,33,13,20,24,14,28,41,47,33,4.02E+07,1.03E+08,2.49E+08,8.14E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P60709,ACTB,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",5,12,4,2,165,69,23,11,4,5,3,2,27,46,21,12,4.88E+07,3.37E+07,6.15E+06,2.94E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",25,30,37,24,60,95,163,75,18,22,27,18,46,58,61,43,5.87E+07,1.04E+08,2.07E+08,9.55E+07,,,,,,,,,,,,,,,,,,,,,,,,,,
P13645,KRT10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",23,25,30,24,60,94,159,79,19,19,25,19,42,42,48,45,1.14E+08,2.25E+08,4.60E+08,2.51E+08,,,,,,,,,,,,,,,,,,,,,,,,,,
P04264,KRT1,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",28,31,38,25,90,157,260,137,25,27,33,21,46,46,48,39,1.72E+08,3.44E+08,7.67E+08,3.79E+08,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z794,KRT77,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3, Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",,3,6,,,11,16,,,1,2,,,5,9,,,1.56E+05,5.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WW59,,SPRY domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SPRYD4 PE=1 SV=2,1,,,,1,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9HB19,,Pleckstrin homology domain-containing family A member 2 OS=Homo sapiens OX=9606 GN=PLEKHA2 PE=1 SV=2,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75027,ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2",2,,,,3,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99798,ACO2,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3,1,,,,2,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NUZ1,ACOXL,Acyl-coenzyme A oxidase-like protein OS=Homo sapiens OX=9606 GN=ACOXL PE=2 SV=3,,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3,1,,,,1,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens OX=9606 GN=ACSL1 PE=1 SV=1,,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95573,ACSL3,Fatty acid CoA ligase Acsl3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55263,ADK,Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,1,,,,1,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13740,ALCAM,CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09972,ALDOC,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50995,ANXA11,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27695,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07741,APRT,Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2,1,,,,1,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61204,ARF3,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,2,,,,2,,,,2,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IZT6,ASPM,Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens OX=9606 GN=ASPM PE=1 SV=2,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25311,AZGP1,"Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2, Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2",1,1,,,2,1,,,1,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15155,BET1,BET1 homolog OS=Homo sapiens OX=9606 GN=BET1 PE=1 SV=1,1,,,,1,,,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05682,CALD1,Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27797,CALR,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,1,,,,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17655,CAPN2,Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49589,CARS1,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95400,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y592,CEP83,Centrosomal protein of 83 kDa OS=Homo sapiens OX=9606 GN=CEP83 PE=1 SV=3,,,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BUK0,CHCHD7,Coiled-coil-helix-coiled-coil-helix domain-containing protein 7 OS=Homo sapiens OX=9606 GN=CHCHD7 PE=1 SV=1,1,,,,2,,,,1,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25067,COL8A2,Collagen alpha-2(VIII) chain OS=Homo sapiens OX=9606 GN=COL8A2 PE=1 SV=2,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2",1,,,,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P99999,CYCS,Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2,,1,,,,1,,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96EP5,DAZAP1,DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1,2,,,,2,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VCK2,DCDC2B,Doublecortin domain-containing protein 2B OS=Homo sapiens OX=9606 GN=DCDC2B PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4,1,,,,1,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00273,DFFA,DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1,1,,,,1,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3,1,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05639,EEF1A2,Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,,,1,,,,2,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
