Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
P27816,"Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3, Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3",MAP4,9,26,26,25,39,19,16,9,34,34,38,81,23,19,9,26,26,25,39,19,16,10,24,24,23,38,22,18,139849.39,5913213.22,8113618.40,11841035.55,6778812.19,1962355.29,2719344.47,,,,,,
O43795,"Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3, Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3, Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3, Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3",MYO1B,10,47,48,47,,,,10,77,76,69,,,,10,47,46,46,,,,9,43,47,44,,,,186543.81,13766330.44,20520834.80,36375649.53,,,,,,,,,
Q9ULV4,"Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1, Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1, Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1, Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1, Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1",CORO1C,8,28,28,27,9,,,13,62,70,77,10,,,8,25,25,24,9,,,21,50,55,50,24,,,498327.08,36272531.79,66289456.05,123705670.57,360527.46,,,,,,,,
Q6P2Q9,"Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2, Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2, Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2, Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2, Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2",PRPF8,8,49,50,61,4,,,8,58,72,85,4,,,8,49,50,61,4,,,3,23,25,31,2,,,141391.45,3995079.55,7141940.88,26242345.95,34549.11,,,,,,,,
Q9NU22,"Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2, Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2, Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2, Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2",MDN1,1,50,72,82,,,,1,54,79,91,,,,1,50,72,82,,,,0,10,15,17,,,,15605.91,2195863.63,5443039.58,15912038.35,,,,,,,,,
P68371,"Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1, Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1, Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1",TUBB4B,,21,21,22,,,,,70,76,78,,,,,1,2,2,,,,,54,57,57,,,,,70032.23,182705.75,684065.93,,,,,,,,,
Q08211,"ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4, ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4",DHX9,14,37,41,44,6,1,,20,51,60,80,6,1,,14,37,41,44,6,1,,13,36,40,41,5,1,,616537.15,9514418.44,15893198.32,55706245.22,65060.12,,,,,,,,
P19338,"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3, Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3",NCL,9,34,40,39,6,1,,10,56,69,73,7,1,,9,34,40,39,6,1,,13,40,43,42,9,1,,851615.77,20549614.99,88985907.01,129671664.27,345429.09,13602.67,,,,,,,
P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3, Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",KRT5,33,17,16,17,30,8,7,78,25,22,21,49,10,7,18,10,8,7,16,4,4,54,29,27,28,47,13,13,4476261.34,648445.65,5020464.93,1604038.52,8070156.71,183362.51,283605.63,,,,,,
P09651,"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5, Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5",HNRNPA1,4,24,24,24,7,2,1,7,56,63,72,10,2,1,4,19,19,18,6,2,1,15,53,51,50,26,5,3,171635.23,13851906.83,30966057.76,87169540.99,208109.08,98163.74,,,,,,,
Q92841,"Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2, Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2",DDX17,11,33,32,32,10,,,19,60,55,63,12,,,5,24,23,23,5,,,17,44,44,47,14,,,101709.60,6553964.32,9723627.17,26396430.17,357574.46,,,,,,,,
O75643,"U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2, U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2, U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2, U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2, U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2, U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2",SNRNP200,6,46,52,58,3,1,,7,53,69,73,3,1,,6,46,52,58,3,1,,3,26,28,33,1,1,,57250.35,4445364.50,8475978.72,22221977.38,49292.19,10325.41,,,,,,,
Q5T7N2,"LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1, LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1, LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1, LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1, LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1",L1TD1,15,46,40,32,1,,,17,82,67,39,1,,,15,46,40,32,1,,,20,49,46,38,2,,,569957.39,17983797.58,20297978.50,20219189.80,,,,,,,,,
Q9NR30,"Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5, Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5, Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5, Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5, Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5",DDX21,13,32,41,35,2,,,15,49,70,61,2,,,13,29,38,32,2,,,20,40,51,48,3,,,742335.96,10570049.05,27506754.98,49692417.59,56971.98,,,,,,,,
P06748,"Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2, Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2",NPM1,7,15,17,18,6,3,1,17,46,59,61,9,3,1,7,15,17,17,6,3,1,27,45,48,48,29,17,2,1213680.90,37611671.03,86696128.63,239184535.48,1709576.70,188989.89,101456.34,,,,,,
P61978,"Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1",HNRNPK,5,19,20,21,10,4,1,11,51,56,54,17,4,1,5,19,20,21,10,4,1,12,43,44,45,32,12,2,264765.60,9548025.47,26993215.12,66948921.72,366171.90,98415.35,,,,,,,
P68104,"Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1, Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1, Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1, Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1, Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1",EEF1A1,8,19,21,22,9,,,17,45,55,56,20,,,8,19,21,22,9,,,20,52,54,59,22,,,1372516.79,25783157.18,61175463.35,149654977.31,1943001.01,,,,,,,,
Q69YQ0,"Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3, Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3, Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3, Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3",SPECC1L,1,41,44,47,,,,1,54,64,70,,,,1,41,44,46,,,,1,40,43,44,,,,,6470569.04,17437155.68,50812168.40,,,,,,,,,
P09874,"Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4, Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4, Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4, Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4, Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4, Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4",PARP1,7,36,44,38,9,1,,8,50,63,50,10,1,,7,36,44,38,9,1,,11,41,48,42,11,1,,156141.08,6998616.33,17308156.60,26353138.42,193318.76,27685.71,,,,,,,
P11142,"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",HSPA8,16,28,30,31,11,3,1,17,44,52,52,13,3,1,14,23,25,25,9,3,1,27,46,48,47,24,6,2,558653.78,7513464.78,16274683.20,37751357.70,284484.64,23090.87,,,,,,,
P22626,"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2, Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2, Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2, Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2, Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",HNRNPA2B1,8,24,23,27,7,,,9,49,54,60,9,,,8,20,19,22,6,,,22,64,56,65,18,,,175110.16,9925295.82,21313603.97,82844769.20,275934.69,,,,,,,,
Q9BQG0,"Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2, Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2, Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2, Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2",MYBBP1A,1,33,44,38,,,,2,42,69,68,,,,1,33,44,38,,,,2,28,38,33,,,,39788.98,5117474.89,12728163.26,25291359.32,,,,,,,,,
P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3, Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",KRT6A,29,11,,21,29,9,,67,19,,26,55,10,,2,3,,9,3,1,,48,20,,36,48,20,,1294790.85,,,6027266.93,5181922.16,100545.35,,,,,,,
Q13045,"Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2, Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2, Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2, Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2",FLII,4,31,42,38,,,,4,43,73,55,,,,4,31,42,38,,,,3,30,40,35,,,,50544.21,5735199.80,14556113.30,31651473.75,,,,,,,,,
P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",KRT6B,29,,13,,29,10,6,72,,21,,60,14,7,2,,1,,4,1,2,48,,21,,50,23,10,57336.84,,46727.47,,584569.76,1221838.04,114560.49,,,,,,
P43243,"Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2, Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2, Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2, Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2, Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2, Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2",MATR3,3,25,26,36,2,1,,3,44,58,65,2,1,,3,25,26,36,2,1,,5,33,35,45,3,2,,17958.52,7170683.64,15516979.18,38599976.84,19003.92,,,,,,,,
P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4, Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",KRT14,25,11,10,13,30,9,5,45,18,16,15,57,11,5,9,4,6,2,10,4,4,56,23,18,26,65,22,10,1925077.47,482667.73,845928.36,109827.40,3068272.22,694541.57,81720.47,,,,,,
P36578,"60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5, 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5, 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5, 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5, 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5",RPL4,4,17,21,23,1,,,5,37,59,59,1,,,4,17,21,23,1,,,12,42,49,48,3,,,86973.99,8248866.24,30277722.43,75823690.85,16481.78,,,,,,,,
P07910,"Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4",HNRNPC,8,13,16,16,8,2,1,15,40,46,44,10,2,1,8,13,16,16,8,2,1,25,39,43,43,27,7,3,5868120.09,27810555.92,47669012.44,125230009.31,5543958.51,136950.02,,,,,,,
P38159,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3, RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3, RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3, RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3, RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3, RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",RBMX,5,19,22,26,10,5,,6,38,38,57,14,5,,5,6,5,9,10,5,,11,47,50,57,26,11,,470803.60,14506372.99,23244694.79,68880898.45,390941.53,256562.54,,,,,,,
Q9BVA1,"Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1, Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1",TUBB2B,,,22,24,,,,,,80,78,,,,,,1,1,,,,,,60,67,,,,,,283664.91,980339.50,,,,,,,,,
P68363,"Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1",TUBA1B,7,19,19,18,12,,,8,46,49,41,12,,,7,3,3,3,12,,,20,53,57,50,29,,,288890.22,7874946.23,12644578.14,32381126.13,358266.62,,,,,,,,
O95782,"AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3, AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3, AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3, AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3",AP2A1,5,33,38,38,,,,5,42,53,55,,,,5,23,26,27,,,,5,39,45,42,,,,72729.07,6358198.95,15003646.26,31263256.71,,,,,,,,,
O60264,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1",SMARCA5,3,32,32,36,2,,,4,49,47,50,2,,,3,20,18,21,2,,,2,30,30,35,2,,,61841.61,5513748.33,9271323.41,19944487.48,22461.76,,,,,,,,
Q05682,"Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3, Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3, Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3, Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3",CALD1,4,26,33,38,,,,4,38,49,60,,,,4,26,33,38,,,,5,29,37,40,,,,36662.25,7057721.03,25833124.41,61928027.02,,,,,,,,,
